;DATE;NAIVE;HAR;FNNHAR;SRN;LSTM;GRU;DAILY_RETURNS
125;2018-06-27 05:35:00;0.03110730959264135;0.030609643762387964;0.030429427;0.030657949;0.029368991;0.029368991;-0.032482231839467524
126;2018-06-27 05:40:00;0.031143914889853574;0.03062379952033828;0.030436266;0.030670676;0.029378045;0.029378045;-0.031144998941107893
127;2018-06-27 05:45:00;0.031144091288941925;0.030622811689707992;0.030436812;0.030670738;0.029378086;0.029378086;-0.031246993561746983
128;2018-06-27 05:50:00;0.031109984245178437;0.030607598390799334;0.030431455;0.030658878;0.029369684;0.029369684;-0.029656279083558168
129;2018-06-27 05:55:00;0.03113554588155762;0.030617068417666298;0.030436333;0.030667767;0.029375967;0.029375967;-0.0288776615546098
130;2018-06-27 06:00:00;0.03130042393399141;0.030684141866238683;0.03046511;0.030725094;0.02941673;0.02941673;-0.030997989066211318
131;2018-06-27 06:05:00;0.03125648672445214;0.03066483262432637;0.03045807;0.030709818;0.029405866;0.029405866;-0.0323824559878334
132;2018-06-27 06:10:00;0.03141383354685567;0.030728783809413594;0.030485554;0.030764526;0.029444745;0.029444745;-0.02969815541231835
133;2018-06-27 06:15:00;0.031411883973666885;0.030726814833472532;0.03048572;0.030763846;0.029444281;0.029444281;-0.02947047987715745
134;2018-06-27 06:20:00;0.0312979737010575;0.03067853929441544;0.03046667;0.030724242;0.029416114;0.029416114;-0.02681063850499576
135;2018-06-27 06:25:00;0.0312982138708417;0.030677488087689324;0.030467203;0.030724326;0.02941619;0.02941619;-0.026863032587705504
136;2018-06-27 06:30:00;0.03129801994883789;0.030676254953031473;0.03046766;0.030724257;0.029416114;0.029416114;-0.026757523427357374
137;2018-06-27 06:35:00;0.031296192294796014;0.030674347632343238;0.030467834;0.030723624;0.02941569;0.02941569;-0.02728574395909611
138;2018-06-27 06:40:00;0.031217257224810568;0.030640548139477204;0.030454773;0.030696176;0.029396156;0.029396156;-0.030034841334170007
139;2018-06-27 06:45:00;0.03123023081028385;0.03064476772376387;0.030457476;0.03070069;0.029399391;0.029399391;-0.030357057773997557
140;2018-06-27 06:50:00;0.03121779084170737;0.030638478170656274;0.03045582;0.030696364;0.02939631;0.02939631;-0.028392587108155176
141;2018-06-27 06:55:00;0.03121841927450308;0.030637635571651944;0.030456385;0.030696582;0.029396463;0.029396463;-0.028542254018742774
142;2018-06-27 07:00:00;0.03122801234398822;0.03064050180816963;0.03045849;0.030699916;0.029398814;0.029398814;-0.02919942955330335
143;2018-06-27 07:05:00;0.0311978460486644;0.03062692267625553;0.030453779;0.03068943;0.029391378;0.029391378;-0.028629917092400706
144;2018-06-27 07:10:00;0.031201748639921374;0.030627441517146723;0.030454906;0.030690785;0.029392341;0.029392341;-0.027255546929655598
145;2018-06-27 07:15:00;0.03120488528191382;0.030627623532398618;0.030455912;0.030691877;0.02939311;0.02939311;-0.027384805923987617
146;2018-06-27 07:20:00;0.03121965471672119;0.030632608062528086;0.030458914;0.030697012;0.029396772;0.029396772;-0.026772128439203517
147;2018-06-27 07:25:00;0.03121959721401349;0.030631458557144227;0.030459376;0.03069699;0.029396772;0.029396772;-0.02677352695790081
148;2018-06-27 07:30:00;0.031186325317156344;0.030616571468159243;0.030454138;0.030685423;0.029388528;0.029388528;-0.025173135828933543
149;2018-06-27 07:35:00;0.031184549517898605;0.030614712271063382;0.030454298;0.030684806;0.029388104;0.029388104;-0.02540202170491135
150;2018-06-27 07:40:00;0.03118656711831421;0.030614410605275554;0.030455114;0.030685505;0.029388603;0.029388603;-0.027735332014587225
151;2018-06-27 07:45:00;0.03120172952752595;0.030619574719458566;0.030458206;0.030690778;0.029392341;0.029392341;-0.02872285452365642
152;2018-06-27 07:50:00;0.03119900324762265;0.0306173378653953;0.030458227;0.030689832;0.029391648;0.029391648;-0.028333412547468132
153;2018-06-27 07:55:00;0.031218082584103024;0.030624112921427308;0.03046199;0.030696465;0.029396389;0.029396389;-0.026336793935358926
154;2018-06-27 08:00:00;0.03117302371596593;0.03060436137604891;0.030454751;0.030680798;0.02938525;0.02938525;-0.02404931381322317
155;2018-06-27 08:05:00;0.031214765351897024;0.030620515888877507;0.030462397;0.030695312;0.029395577;0.029395577;-0.02520674996864436
156;2018-06-27 08:10:00;0.03118003381887112;0.030605036307451042;0.030456929;0.030683236;0.029386984;0.029386984;-0.026710828008222443
157;2018-06-27 08:15:00;0.03115412548101192;0.030593211556536496;0.030452969;0.030674227;0.02938059;0.02938059;-0.023775942038057885
158;2018-06-27 08:20:00;0.031141302112529582;0.030586799323785576;0.030451253;0.03066977;0.029377392;0.029377392;-0.024612624922500714
159;2018-06-27 08:25:00;0.031242161634302986;0.030627403752200497;0.030469041;0.03070484;0.02940232;0.02940232;-0.022153248431054703
160;2018-06-27 08:30:00;0.03124749913635537;0.030628496392146865;0.030470455;0.030706694;0.02940363;0.02940363;-0.02078168651358148
161;2018-06-27 08:35:00;0.031323390064809865;0.030658768362981807;0.030483972;0.030733079;0.029422395;0.029422395;-0.023690289332591874
162;2018-06-27 08:40:00;0.031304238182790774;0.030649726588431632;0.030481182;0.03072642;0.029417656;0.029417656;-0.024886997899391968
163;2018-06-27 08:45:00;0.03129189835772924;0.03064349885823101;0.030479565;0.03072213;0.029414613;0.029414613;-0.02572635796424461
164;2018-06-27 08:50:00;0.031301489633981584;0.03064633385900818;0.03048171;0.030725466;0.029417;0.029417;-0.02718164114172961
165;2018-06-27 08:55:00;0.03127801495884447;0.030635485214768228;0.030478181;0.030717304;0.029411182;0.029411182;-0.025948733159331997
166;2018-06-27 09:00:00;0.031282596212847395;0.030636242794656866;0.030479463;0.030718895;0.029412339;0.029412339;-0.026440789372419005
167;2018-06-27 09:05:00;0.03127745821897887;0.030632971455597825;0.030479081;0.03071711;0.029411068;0.029411068;-0.02349006569864276
168;2018-06-27 09:10:00;0.03127809619929713;0.03063209548115635;0.030479692;0.03071733;0.029411223;0.029411223;-0.024357586810165976
169;2018-06-27 09:15:00;0.031274565337494495;0.03062950025142914;0.030479582;0.030716103;0.029410336;0.029410336;-0.022991741762107942
170;2018-06-27 09:20:00;0.03126377786359301;0.03062390675628892;0.03047823;0.030712353;0.029407676;0.029407676;-0.02373436681942831
171;2018-06-27 09:25:00;0.03125737635440433;0.0306201403452329;0.030477626;0.030710127;0.029406097;0.029406097;-0.024260455827429084
172;2018-06-27 09:30:00;0.03121486484684378;0.03060144310695479;0.030470824;0.030695345;0.02939558;0.02939558;-0.022696693037086213
173;2018-06-27 09:35:00;0.031208963033440576;0.03059789183746018;0.030470302;0.030693293;0.029394113;0.029394113;-0.02298793215052619
174;2018-06-27 09:40:00;0.031163566780006095;0.030578011989278453;0.030463;0.03067751;0.029382903;0.029382903;-0.021198287971032848
175;2018-06-27 09:45:00;0.031193301999763643;0.030589209500209637;0.030468589;0.030687846;0.02939026;0.02939026;-0.019744154852046947
176;2018-06-27 09:50:00;0.03121115447177225;0.030595485295988885;0.030472135;0.030694054;0.029394653;0.029394653;-0.01849965011731669
177;2018-06-27 09:55:00;0.031024002069688007;0.030516978099235734;0.030440515;0.030628983;0.029348416;0.029348416;-0.01482338977476161
178;2018-06-27 10:00:00;0.031021964601332882;0.030515047105372974;0.03044064;0.030628275;0.029347917;0.029347917;-0.013595416725971532
179;2018-06-27 10:05:00;0.030954667780124075;0.03048613518336711;0.030429559;0.030604877;0.02933127;0.02933127;-0.014762215027285919
180;2018-06-27 10:10:00;0.030971026440606106;0.030491829350339353;0.030432824;0.030610565;0.029335318;0.029335318;-0.015124614872161326
181;2018-06-27 10:15:00;0.03097501986259991;0.03049240667588671;0.030433973;0.030611955;0.029336318;0.029336318;-0.015473534823142288
182;2018-06-27 10:20:00;0.030961008825084683;0.03048554801282679;0.030432032;0.030607082;0.02933285;0.02933285;-0.015956469437901074
183;2018-06-27 10:25:00;0.03096863070738144;0.030487645492578524;0.030433808;0.030609732;0.029334739;0.029334739;-0.01714510165474881
184;2018-06-27 10:30:00;0.030969872976355974;0.030487101381990032;0.030434491;0.030610163;0.029335048;0.029335048;-0.013890466332932228
185;2018-06-27 10:35:00;0.030970802857216838;0.03048642126879245;0.030435123;0.030610487;0.029335279;0.029335279;-0.013801087783760655
186;2018-06-27 10:40:00;0.031030362734461112;0.030509989077475055;0.030445816;0.030631198;0.029349998;0.029349998;-0.011739763673588756
187;2018-06-27 10:45:00;0.03099416555571017;0.03049395284562587;0.030440085;0.03061861;0.029341057;0.029341057;-0.012595002406987632
188;2018-06-27 10:50:00;0.030819466150679844;0.03042064121588884;0.030410592;0.030557869;0.029297868;0.029297868;-0.014960482541689581
189;2018-06-27 10:55:00;0.030820957623494575;0.030420208683967297;0.030411318;0.030558387;0.029298253;0.029298253;-0.015011942816905766
190;2018-06-27 11:00:00;0.030819299449994418;0.030418477925140727;0.030411499;0.030557811;0.029297829;0.029297829;-0.015890286943784027
191;2018-06-27 11:05:00;0.03084773559012109;0.030429196298648837;0.030416843;0.030567696;0.029304877;0.029304877;-0.016676155122124392
192;2018-06-27 11:10:00;0.030848997984873627;0.030428672510101583;0.03041753;0.030568136;0.029305186;0.029305186;-0.01589887044927618
193;2018-06-27 11:15:00;0.030915148694810605;0.030454967265217986;0.030429352;0.030591136;0.029321523;0.029321523;-0.017961436295309774
194;2018-06-27 11:20:00;0.030920885678429887;0.030456263824757066;0.03043082;0.03059313;0.029322948;0.029322948;-0.0172868099184722
195;2018-06-27 11:25:00;0.0309243141712619;0.030456611623369108;0.030431887;0.030594323;0.029323796;0.029323796;-0.017150422040367097
196;2018-06-27 11:30:00;0.030911057159816912;0.0304500331726464;0.0304301;0.030589713;0.029320523;0.029320523;-0.016112494077558992
197;2018-06-27 11:35:00;0.030910834644769687;0.03044883231096032;0.030430555;0.030589636;0.029320445;0.029320445;-0.016309634309831008
