;DATE;NAIVE;HAR;FNNHAR;SRN;LSTM;GRU;DAILY_RETURNS
0;2017-12-13 14:25:00;0.07612772172189397;0.08728892708672403;0.10397519;0.07547783;0.0742395;0.0742395;-0.011963037471016236
1;2017-12-13 14:30:00;0.07613670315892801;0.08729344745386708;0.10397942;0.075483635;0.0742452;0.0742452;-0.010870065932648387
2;2017-12-13 14:35:00;0.07628073364673159;0.08736838286367088;0.10403476;0.075576805;0.0743366;0.0743366;-0.015242273088087009
3;2017-12-13 14:40:00;0.07614169087028587;0.08729573742471483;0.103983015;0.07548686;0.07424839;0.07424839;-0.020716804180046292
4;2017-12-13 14:45:00;0.07604422430540635;0.08724475299922219;0.10394697;0.075423814;0.07418652;0.07418652;-0.023070535213106425
5;2017-12-13 14:50:00;0.07575166184935345;0.08709204287234165;0.10383708;0.07523456;0.07400095;0.07400095;-0.02022744246696906
6;2017-12-13 14:55:00;0.07580118447620476;0.08711766389853928;0.10385656;0.0752666;0.07403234;0.07403234;-0.021664142304381958
7;2017-12-13 15:00:00;0.07581770428232841;0.08712608895016388;0.10386362;0.07527728;0.07404284;0.07404284;-0.02483932508593867
8;2017-12-13 15:05:00;0.07622533447565573;0.08733841914796892;0.10401862;0.07554097;0.07430145;0.07430145;-0.009502503009952257
9;2017-12-13 15:10:00;0.07634976550158458;0.08740317661057276;0.10406661;0.07562146;0.07438037;0.07438037;-0.011565141621367124
10;2017-12-13 15:15:00;0.0762455678974855;0.08734874962980083;0.10402812;0.07555405;0.07431429;0.07431429;-0.013837845115196146
11;2017-12-13 15:20:00;0.07569465691733776;0.0870614068802898;0.10382057;0.07519768;0.07396476;0.07396476;-0.003901846948570764
12;2017-12-13 15:25:00;0.07536666860258251;0.08689022572231991;0.10369725;0.07498552;0.073756665;0.073756665;0.0023496580502664344
13;2017-12-13 15:30:00;0.07538298067951656;0.08689851528615875;0.103704125;0.07499606;0.07376702;0.07376702;0.002001262044474039
14;2017-12-13 15:35:00;0.07533118612164583;0.08687135167622256;0.1036853;0.07496256;0.073734134;0.073734134;-0.0003223695373462121
15;2017-12-13 15:40:00;0.0753030244440832;0.08685649941587573;0.103675395;0.07494435;0.0737163;0.0737163;0.0017265368585768215
16;2017-12-13 15:45:00;0.07550703543259947;0.08696265030199957;0.103753194;0.07507632;0.07384573;0.07384573;-0.010795845902236144
17;2017-12-13 15:50:00;0.07547592260016824;0.08694620961203262;0.103742026;0.075056195;0.07382599;0.07382599;-0.008845490360881671
18;2017-12-13 15:55:00;0.07501097070940824;0.08670349638329528;0.10356647;0.07475542;0.07353096;0.07353096;-0.01972232587330236
19;2017-12-13 16:00:00;0.07472059520012664;0.08655175663799056;0.10345689;0.074567586;0.073346734;0.073346734;-0.02555271569961892
20;2017-12-13 16:05:00;0.07482623304480401;0.08660657560917989;0.1034974;0.074635915;0.07341374;0.07341374;-0.027812955093115654
21;2017-12-13 16:10:00;0.07474778156905687;0.08656534294923929;0.10346814;0.07458516;0.073363975;0.073363975;-0.025610727673092804
22;2017-12-13 16:15:00;0.07517764722513065;0.08678915879619442;0.10363129;0.07486323;0.07363671;0.07363671;-0.03528094578198448
23;2017-12-13 16:20:00;0.07510927145107242;0.08675322124477064;0.10360591;0.074819006;0.073593356;0.073593356;-0.04142388633934235
24;2017-12-13 16:25:00;0.07545460251610744;0.08693296712368234;0.10373705;0.0750424;0.07381244;0.07381244;-0.01882597897091021
25;2017-12-13 16:30:00;0.07540837401785268;0.08690860926308797;0.10372011;0.07501249;0.07378314;0.07378314;-0.022619536191000652
26;2017-12-13 16:35:00;0.0755209287612135;0.08696711881504143;0.10376349;0.0750853;0.07385456;0.07385456;-0.02688987369748119
27;2017-12-13 16:40:00;0.07535049193533366;0.08687809866383747;0.10369981;0.07497504;0.0737464;0.0737464;-0.03456832850718872
28;2017-12-13 16:45:00;0.07555795081082901;0.08698610407155738;0.10377913;0.07510926;0.073878005;0.073878005;-0.037223113310252735
29;2017-12-13 16:50:00;0.07551653993158157;0.08696436748264663;0.10376431;0.075082466;0.07385176;0.07385176;-0.03159537921379218
30;2017-12-13 16:55:00;0.07634088959041288;0.08739401256015866;0.104077086;0.07561573;0.07437475;0.07437475;-0.023737719695176903
31;2017-12-13 17:00:00;0.0761535162539196;0.087296244173242;0.104007185;0.07549451;0.07425587;0.07425587;-0.01888918681777429
32;2017-12-13 17:05:00;0.07626814682969428;0.08735591360578268;0.104051515;0.07556866;0.074328594;0.074328594;-0.015245886903279882
33;2017-12-13 17:10:00;0.0762714357746557;0.08735754873666865;0.10405375;0.075570785;0.07433068;0.07433068;-0.016391322381419826
34;2017-12-13 17:15:00;0.07677824731256712;0.08762171461772666;0.104246534;0.07589863;0.074652195;0.074652195;-0.02640509541846381
35;2017-12-13 17:20:00;0.07678926234612836;0.08762743508594689;0.1042518;0.075905755;0.07465918;0.07465918;-0.02884061338436439
36;2017-12-13 17:25:00;0.07783557574536737;0.08817293861379064;0.10464883;0.0765826;0.07532287;0.07532287;-0.01627294658385381
37;2017-12-13 17:30:00;0.07802780896700745;0.0882732488871516;0.10472289;0.07670695;0.07544479;0.07544479;-0.010714479014228395
38;2017-12-13 17:35:00;0.07757722280389996;0.08803840805020782;0.104553685;0.07641549;0.07515901;0.07515901;-0.008178904485682814
39;2017-12-13 17:40:00;0.07716119802410144;0.08782152341534327;0.104397446;0.07614636;0.07489514;0.07489514;-0.01579232925760721
40;2017-12-13 17:45:00;0.07717077508906549;0.08782649067010229;0.104402155;0.076152556;0.07490118;0.07490118;-0.01630943424579634
