;COEF;MODEL;TRAIN;TEST;ERRORS
0;Root mean squared error;SimpleRNN;0.027723155826738115;0.07230728303258786;0.027723155826738115
1;Mean absolute error;SimpleRNN;0.020507339056191794;0.05228854913578685;0.020507339056191794
2;Mean squared logarithmic error;SimpleRNN;0.0006689506121655259;0.00425048297576695;0.0006689506121655259
3;Root mean squared error;LSTM;0.023045555587760037;0.062435933031525136;0.023045555587760037
4;Mean absolute error;LSTM;0.017334486311374016;0.03855237314047395;0.017334486311374016
5;Mean squared logarithmic error;LSTM;0.0004588930509453694;0.00309453816191479;0.0004588930509453694
6;Root mean squared error;GRU;0.022673452798702885;0.0616525278273571;0.022673452798702885
7;Mean absolute error;GRU;0.01705140716036083;0.03694066896476628;0.01705140716036083
8;Mean squared logarithmic error;GRU;0.0004442442186166735;0.003014958718234127;0.0004442442186166735
