,COEF,MODEL,TRAIN,TEST,ERRORS
0,Root mean squared error,SimpleRNN,0.030014960462503706,0.04420084597973767,0.030014960462503706
1,Mean absolute error,SimpleRNN,0.022065988998991613,0.029856522087910422,0.022065988998991613
2,Mean squared logarithmic error,SimpleRNN,0.000746390698185806,0.0014875929247525539,0.000746390698185806
3,Root mean squared error,LSTM,0.029677265999544483,0.04450516262663854,0.029677265999544483
4,Mean absolute error,LSTM,0.021161448384208796,0.02931495331675009,0.021161448384208796
5,Mean squared logarithmic error,LSTM,0.0007279104010639155,0.0015107956889852132,0.0007279104010639155
6,Root mean squared error,GRU,0.029830864943014544,0.04441203757249001,0.029830864943014544
7,Mean absolute error,GRU,0.021617951480154367,0.02951118403057567,0.021617951480154367
8,Mean squared logarithmic error,GRU,0.0007363795405716482,0.0015032944983899529,0.0007363795405716482
