,COEF,MODEL,TRAIN,TEST,ERRORS
0,Root mean squared error,SimpleRNN,0.010008275618158442,0.009794673283614967,0.010008275618158442
1,Mean absolute error,SimpleRNN,0.007289899521471321,0.00824318667411015,0.007289899521471321
2,Mean squared logarithmic error,SimpleRNN,9.278137539969763e-05,9.007160428058721e-05,9.278137539969763e-05
3,Root mean squared error,LSTM,0.009876702067321021,0.009882694688738154,0.009876702067321021
4,Mean absolute error,LSTM,0.00717482115298303,0.008359572465746928,0.00717482115298303
5,Mean squared logarithmic error,LSTM,9.035742877146869e-05,9.170003821589141e-05,9.035742877146869e-05
6,Root mean squared error,GRU,0.009897775643904061,0.009870190745528687,0.009897775643904061
7,Mean absolute error,GRU,0.007190234194895792,0.008339580107772105,0.007190234194895792
8,Mean squared logarithmic error,GRU,9.074357854439208e-05,9.146604840712487e-05,9.074357854439208e-05
