,COEF,MODEL,TRAIN,TEST,ERRORS
0,Root mean squared error,SimpleRNN,0.02344024210269159,0.06311153116233514,0.02344024210269159
1,Mean absolute error,SimpleRNN,0.01762002654515788,0.040067954120693604,0.01762002654515788
2,Mean squared logarithmic error,SimpleRNN,0.00047491011324437844,0.003165016611324801,0.00047491011324437844
3,Root mean squared error,LSTM,0.025002593865912744,0.06651429810915804,0.025002593865912744
4,Mean absolute error,LSTM,0.01857867940069906,0.04540070231651877,0.01857867940069906
5,Mean squared logarithmic error,LSTM,0.0005412949269691202,0.00354064795267548,0.0005412949269691202
6,Root mean squared error,GRU,0.024022645001319152,0.06435282165169529,0.024022645001319152
7,Mean absolute error,GRU,0.017963971503314653,0.04228975502291378,0.017963971503314653
8,Mean squared logarithmic error,GRU,0.0004990415790734884,0.0032982794120364925,0.0004990415790734884
