;COEF;MODEL;TRAIN;TEST;ERRORS
0;Root mean squared error;SimpleRNN;0.03001499796443596;0.0442007957353956;0.03001499796443596
1;Mean absolute error;SimpleRNN;0.02206608865265999;0.029856561818247453;0.02206608865265999
2;Mean squared logarithmic error;SimpleRNN;0.0007463928073346073;0.0014875893167308149;0.0007463928073346073
3;Root mean squared error;LSTM;0.029677278255264318;0.044505216348757266;0.029677278255264318
4;Mean absolute error;LSTM;0.02116150267868485;0.029314898956616663;0.02116150267868485
5;Mean squared logarithmic error;LSTM;0.0007279111384038375;0.001510799374687677;0.0007279111384038375
6;Root mean squared error;GRU;0.029830327956994782;0.044412888634328324;0.029830327956994782
7;Mean absolute error;GRU;0.021616426736603137;0.029510329515744595;0.021616426736603137
8;Mean squared logarithmic error;GRU;0.0007363497245896143;0.001503357321473789;0.0007363497245896143
