,COEF,MODEL,TRAIN,TEST,ERRORS
0,Root mean squared error,SimpleRNN,0.007542143738921219,0.015292687779162505,0.007542143738921219
1,Mean absolute error,SimpleRNN,0.005729716282771006,0.013580203579930599,0.005729716282771006
2,Mean squared logarithmic error,SimpleRNN,5.315651205504854e-05,0.00021654410601736385,5.315651205504854e-05
3,Root mean squared error,LSTM,0.00747441207630489,0.013682078487585625,0.00747441207630489
4,Mean absolute error,LSTM,0.0055131403746489765,0.010358493261749972,0.0055131403746489765
5,Mean squared logarithmic error,LSTM,5.2203016106296664e-05,0.00017294972581193246,5.2203016106296664e-05
6,Root mean squared error,GRU,0.007193795531489292,0.013552662443101347,0.007193795531489292
7,Mean absolute error,GRU,0.005246841809263117,0.010127963105396242,0.005246841809263117
8,Mean squared logarithmic error,GRU,4.8348506774690787e-05,0.00016973247789524648,4.8348506774690787e-05
