;COEF;MODEL;TRAIN;TEST;ERRORS
0;Root mean squared error;SimpleRNN;0.00762011429300555;0.013776694031370919;0.00762011429300555
1;Mean absolute error;SimpleRNN;0.005648900986028154;0.010501807433933159;0.005648900986028154
2;Mean squared logarithmic error;SimpleRNN;5.426413855017248e-05;0.00017534871655435386;5.426413855017248e-05
3;Root mean squared error;LSTM;0.008733353709780732;0.014811000387916735;0.008733353709780732
4;Mean absolute error;LSTM;0.006698447300052053;0.011866836332502755;0.006698447300052053
5;Mean squared logarithmic error;LSTM;7.136308561763008e-05;0.0002029281431097799;7.136308561763008e-05
6;Root mean squared error;GRU;0.008160313330278083;0.01424452875447604;0.008160313330278083
7;Mean absolute error;GRU;0.006145852290852694;0.01107583685312595;0.006145852290852694
8;Mean squared logarithmic error;GRU;6.226194487660136e-05;0.00018753928278792705;6.226194487660136e-05
