,COEF,MODEL,TRAIN,TEST,ERRORS
0,Root mean squared error,Naive,0.014108573339427314,0.012757853359811463,0.014108573339427314
1,Mean absolute error,Naive,0.010868096892527584,0.010528424533060255,0.010868096892527584
2,Mean squared logarithmic error,Naive,0.00018517158724738527,0.00015237231610954065,0.00018517158724738527
3,Root mean squared error,HAR-RV,0.009103716587601809,0.011409149048102522,0.009103716587601809
4,Mean absolute error,HAR-RV,0.007155607416520443,0.009877527313601185,0.007155607416520443
5,Mean squared logarithmic error,HAR-RV,7.691480520344284e-05,0.0001224443230367564,7.691480520344284e-05
6,Root mean squared error,FNN-ANN,0.009800099710824977,0.01055391659721221,0.009800099710824977
7,Mean absolute error,FNN-ANN,0.007011882168431828,0.008747739091435967,0.007011882168431828
8,Mean squared logarithmic error,FNN-ANN,8.898268488939522e-05,0.00010459668010937688,8.898268488939522e-05
