;COEF;MODEL;TRAIN;TEST;ERRORS
0;Root mean squared error;Naive;0.050332522854264636;0.07150701986712038;0.050332522854264636
1;Mean absolute error;Naive;0.03327213967746723;0.050825957672274207;0.03327213967746723
2;Mean squared logarithmic error;Naive;0.002111866367598166;0.004022393095750409;0.002111866367598166
3;Root mean squared error;HAR-RV;0.021706527331431906;0.06269633477335741;0.021706527331431906
4;Mean absolute error;HAR-RV;0.01645571777283529;0.036232817467103384;0.01645571777283529
5;Mean squared logarithmic error;HAR-RV;0.00040608400340911503;0.0031280151455850493;0.00040608400340911503
6;Root mean squared error;FNN-ANN;0.024826731803083642;0.05739404593640881;0.024826731803083642
7;Mean absolute error;FNN-ANN;0.02066639276855645;0.041526760675492456;0.02066639276855645
8;Mean squared logarithmic error;FNN-ANN;0.0005393740538245156;0.002605467578030642;0.0005393740538245156
