;COEF;MODEL;TRAIN;TEST;ERRORS
0;Root mean squared error;Naive;0.014108573339427314;0.012757853359811463;0.014108573339427314
1;Mean absolute error;Naive;0.010868096892527584;0.010528424533060255;0.010868096892527584
2;Mean squared logarithmic error;Naive;0.00018517158724738527;0.00015237231610954065;0.00018517158724738527
3;Root mean squared error;HAR-RV;0.009103716587601809;0.011409149048102522;0.009103716587601809
4;Mean absolute error;HAR-RV;0.007155607416520443;0.009877527313601185;0.007155607416520443
5;Mean squared logarithmic error;HAR-RV;7.691480520344284e-05;0.0001224443230367564;7.691480520344284e-05
6;Root mean squared error;FNN-ANN;0.009800206608949723;0.010553905317624545;0.009800206608949723
7;Mean absolute error;FNN-ANN;0.0070119459250713116;0.008747692814191348;0.0070119459250713116
8;Mean squared logarithmic error;FNN-ANN;8.898463194695741e-05;0.00010459644969441831;8.898463194695741e-05
