,COEF,MODEL,TRAIN,TEST,ERRORS
0,Root mean squared error,Naive,0.050332522854264636,0.07150701986712038,0.050332522854264636
1,Mean absolute error,Naive,0.03327213967746723,0.050825957672274207,0.03327213967746723
2,Mean squared logarithmic error,Naive,0.002111866367598166,0.004022393095750409,0.002111866367598166
3,Root mean squared error,HAR-RV,0.021706527331431906,0.06269633477335741,0.021706527331431906
4,Mean absolute error,HAR-RV,0.01645571777283529,0.036232817467103384,0.01645571777283529
5,Mean squared logarithmic error,HAR-RV,0.00040608400340911503,0.0031280151455850493,0.00040608400340911503
6,Root mean squared error,FNN-ANN,0.024826514763683957,0.05739419537249569,0.024826514763683957
7,Mean absolute error,FNN-ANN,0.020666221465566223,0.041526798954574944,0.020666221465566223
8,Mean squared logarithmic error,FNN-ANN,0.0005393641848367937,0.00260548065277967,0.0005393641848367937
