;COEF;MODEL;TRAIN;TEST;ERRORS
0;Root mean squared error;Naive;0.05404173498211658;0.04934869823518871;0.05404173498211658
1;Mean absolute error;Naive;0.03692905828241894;0.035999987111116946;0.03692905828241894
2;Mean squared logarithmic error;Naive;0.0023925126231189773;0.001833857414027888;0.0023925126231189773
3;Root mean squared error;HAR-RV;0.029164133791492283;0.044372714475428524;0.029164133791492283
4;Mean absolute error;HAR-RV;0.019696977742010603;0.03245819116431409;0.019696977742010603
5;Mean squared logarithmic error;HAR-RV;0.0007010528653406026;0.0015065215118452782;0.0007010528653406026
6;Root mean squared error;FNN-ANN;0.029645117182306956;0.04873538541717882;0.029645117182306956
7;Mean absolute error;FNN-ANN;0.020540990311325943;0.03808528943555268;0.020540990311325943
8;Mean squared logarithmic error;FNN-ANN;0.0007268422024586788;0.0018445407121786181;0.0007268422024586788
