,COEF,MODEL,TRAIN,TEST,ERRORS
0,Root mean squared error,Naive,0.014775821984654056,0.015399436542278844,0.014775821984654056
1,Mean absolute error,Naive,0.01129527878172286,0.013774200379782211,0.01129527878172286
2,Mean squared logarithmic error,Naive,0.0002039559029718288,0.00021921225949387955,0.0002039559029718288
3,Root mean squared error,HAR-RV,0.006564536792708592,0.019622317764772974,0.006564536792708592
4,Mean absolute error,HAR-RV,0.005147376674069793,0.016235773569203152,0.005147376674069793
5,Mean squared logarithmic error,HAR-RV,4.025011557913745e-05,0.000358951586549054,4.025011557913745e-05
6,Root mean squared error,FNN-ANN,0.006917534516713275,0.017542373805625826,0.006917534516713275
7,Mean absolute error,FNN-ANN,0.00515111433198171,0.013997995570912693,0.00515111433198171
8,Mean squared logarithmic error,FNN-ANN,4.469472892054466e-05,0.00028622625025757464,4.469472892054466e-05
